candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber
158,PT Adhi Karya,C_Kantor,1855697095,56.645469578214545,107.6247716,-6.904185618999994,1855697095,56.64546957821455
159,Rumah Sakit Bungsu,E_RumahSakit,1849526016,56.98320146007483,107.61329043279352,-6.918613280327423,1849526016,56.98320146007483
160,PT Sucofindo,C_Kantor,5348638990,57.002671118997945,107.5851824,-6.943031091000001,5348638990,57.002671118997945
161,Dinas Perpustakaan dan Kearsipan Daerah,C_Kantor,7693964469,58.09932584075444,107.66299167649566,-6.934444690133399,7693964469,58.09932584075444
162,Pertamina,A_SPBU,3272725789,58.31035581634349,107.6915056,-6.936788202999993,3272725789,58.31035581634349
163,Rumah Sakit Sariningsih,E_RumahSakit,12836407572,58.74380371733868,107.61113185313704,-6.9065803979286695,12836407572,58.74380371733868
164,Prama Grand Preanger,D_Hotel,3374033502,59.00818818422501,107.611654,-6.921343100000005,3374033502,59.00818818422501
165,Badan Kesehatan Olahraga Masyarakat Bandung,C_Kantor,5406559255,59.77378918379864,107.66000773276868,-6.936763750825282,5406559255,59.77378918379864
166,Pertamina,A_SPBU,7284403247,59.78226534823974,107.7006288,-6.936224300000005,7284403247,59.78226534823974
167,Dinas Pengelolaan Sumber Daya Air Provinsi Jawa Barat,C_Kantor,1664397987,60.26915904119257,107.60849984911202,-6.9141646369841805,1664397987,60.26915904119257
168,PD Kebersihan,C_Kantor,11364589669,60.43845631695107,107.6334687,-6.898277071999993,11364589669,60.43845631695107
169,Rumah Sakit Sukapura,E_RumahSakit,7648662947,60.69382304419465,107.6567933,-6.936124800000004,7648662947,60.69382304419465
170,PT PLN UID Jawa Barat,C_Kantor,25435365,61.14171539205423,107.6084149,-6.920844284000008,25435365,61.14171539205423
171,PT Bank Negara Indonesia (BNI),C_Kantor,2325452068,61.46092574014415,107.6074935,-6.913662695000004,2325452068,61.46092574013
172,Pertamina,A_SPBU,3380407826,61.614074177119456,107.6965992,-6.923894916999993,3380407826,61.614074177119456
173,Dinas Komunikasi Dan Informatika Provinsi Jawa Barat,C_Kantor,12805986402,61.67539494183729,107.60924270000656,-6.896431900004211,12805986402,61.67539494183729
174,RS Melinda 2,E_RumahSakit,2012498693,61.92837014332031,107.5982906100896,-6.90618725600251,2012498693,61.92837014332031
175,BPBD Prov Jabar Gedung B,C_Kantor,5406429295,62.278995501967486,107.64770305207902,-6.941971926158342,5406429295,62.278995501967486
176,PT Waskita Karya,C_Kantor,3277357457,62.70281812879493,107.6139913,-6.921399727000005,3277357457,62.70281812879493
177,Pertamina,A_SPBU,3115483150,63.19048355002363,107.579498,-6.929465100000005,3115483150,63.19048355002363
178,Pertamina,A_SPBU,2325453481,63.38514899889796,107.6625098,-6.939634800000005,2325453481,63.38514899889796
179,Istana Plaza,B_Mall,9751476048,63.74118026449512,107.5968964,-6.905837868999996,9751476048,63.74118026449512
180,RS Rajawali,E_RumahSakit,8299293293,65.00521019976851,107.57311232083906,-6.912637465603588,8299293293,65.00521019976851
181,Kantor Kelurahan Tamansari Bandung,C_Kantor,29392602,65.8298060662636,107.60756694733176,-6.904144583705103,29392602,65.8298060662636
182,Bank Mandiri KC Asia Afrika,C_Kantor,1849525939,65.94262134481527,107.613429,-6.921455184999995,1849525939,65.94262134481527
183,Surapati Core,B_Mall,5391571114,66.09668427792707,107.6525342,-6.901375993000006,5391571114,66.09668427792707
184,Kelurahan Pasanggrahan,C_Kantor,4848670777,66.1093646702573,107.70628684453128,-6.91708804649409,4848670777,66.1093646702573
185,Rumah Sakit Umum Daerah Kota Bandung,E_RumahSakit,2518040298,66.36026952487508,107.69874771590916,-6.915649413539831,2518040298,66.36026952487508
186,Kantor Kelurahan Gegerkalong,C_Kantor,11367208110,66.71384503070165,107.59528997375548,-6.874988907361825,11367208110,66.71384503335446
187,Pertamina,A_SPBU,6485352111,67.4860562856956,107.5748775,-6.926653800000008,6485352111,67.4860562856956
188,Hilton Bandung,D_Hotel,2628264119,67.84055431585853,107.5974812,-6.912618200000002,2628264119,67.84055431585853
189,Pertamina,A_SPBU,6639639833,67.96048115036267,107.6128779,-6.890118384999997,6639639833,67.96048115036267
190,Trans Luxury Hotel,D_Hotel,29489330,68.1915622566865,107.6362169,-6.927094900000005,29489330,68.1915622566865
191,Riau Junction,B_Mall,2520649169,68.68896956217392,107.6122551,-6.906598881999998,2520649169,68.68896956217392
192,Dinas Kelautan Dan Perikanan Provinsi Jawa Barat,C_Kantor,13736488296,69.08558697705418,107.60880044999983,-6.9117324499983575,13736488296,69.08558697705418
