addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,5149616893,40.22523215871648,,,,Sekeloa,Coblong,27466,107.61750752055472,-6.886121656780777
<NA>,5465992835,41.753843882108136,,,,Sekeloa,Coblong,27466,107.61800273729206,-6.885467123915226
<NA>,5465992835,32.74316461251418,,,,Sekeloa,Coblong,27466,107.61783809614748,-6.885448448752974
<NA>,5465992835,38.06010508985171,,,,Sekeloa,Coblong,27466,107.61795128490853,-6.885463318272292
<NA>,5465992835,45.00711629018133,,,,Sekeloa,Coblong,27466,107.61796231291014,-6.885391858725103
<NA>,5465992835,55.544970186027655,,,,Sekeloa,Coblong,27466,107.61798428287672,-6.885292242464276
<NA>,5465992835,50.813598184531315,,,,Sekeloa,Coblong,27466,107.61799259919125,-6.885348993763177
<NA>,5465992835,63.07016056676468,,,,Sekeloa,Coblong,27466,107.6178402794845,-6.8851634719746855
<NA>,5465992835,25.589764088759395,,,,Sekeloa,Coblong,27466,107.61791617519557,-6.885592900981853
<NA>,5465992835,26.951688383556352,,,,Sekeloa,Coblong,27466,107.6178654951184,-6.885523245419721
<NA>,5465992835,33.942477266226504,,,,Sekeloa,Coblong,27466,107.61789110000018,-6.885464250000287
<NA>,5465992835,25.32282192947008,,,,Sekeloa,Coblong,27466,107.61780450000022,-6.885507250000362
<NA>,5465992835,40.928209769521196,,,,Sekeloa,Coblong,27466,107.61782322984116,-6.885365145058245
<NA>,5465992835,27.337177029632855,,,,Sekeloa,Coblong,27466,107.61771412153536,-6.885474553141117
<NA>,5465992835,32.98764185447391,,,,Sekeloa,Coblong,27466,107.61773383638132,-6.885423471274453
<NA>,5465992835,35.845323744126915,,,,Sekeloa,Coblong,27466,107.6176533420919,-6.885405224617267
<NA>,5465992835,50.84681635875164,,,,Sekeloa,Coblong,27466,107.61770361982347,-6.885262358319282
<NA>,1381569136,47.49307695083577,,,,Sekeloa,Coblong,27466,107.61766637518149,-6.8851996444688055
<NA>,5465992835,49.232533093603756,,,,Sekeloa,Coblong,27466,107.61785223058638,-6.8852954198528105
<NA>,3443083570,57.25236231640895,,,,Sekeloa,Coblong,27466,107.6180056290306,-6.88640093147918
<NA>,3443083602,79.3201006387364,,,,Sekeloa,Coblong,27466,107.61736060837224,-6.8866326088714125
<NA>,3443083602,62.69492819142798,,,,Sekeloa,Coblong,27466,107.61747913797835,-6.886753072346495
<NA>,5149616893,61.62953114923242,,,,Sekeloa,Coblong,27466,107.6168779844348,-6.886372802636664
<NA>,5149616893,67.38601696753508,,,,Sekeloa,Coblong,27466,107.61704486714851,-6.886508982779625
<NA>,3443083602,81.34121992404619,,,,Sekeloa,Coblong,27466,107.61717619311024,-6.88671201904649
<NA>,5149616893,78.7330052070369,,,,Sekeloa,Coblong,27466,107.61717275529287,-6.886631992352917
<NA>,3443083602,76.06882810665887,,,,Sekeloa,Coblong,27466,107.61729536472936,-6.886693769731694
<NA>,3443083602,59.44155853830376,,,,Sekeloa,Coblong,27466,107.61738456959077,-6.886817285431243
<NA>,3443083602,62.64403691711932,,,,Sekeloa,Coblong,27466,107.61733041880527,-6.8868128511588
<NA>,5149616893,79.11127200422625,,,,Sekeloa,Coblong,27466,107.61692964407872,-6.886581389435964
<NA>,5149616893,76.73758519289309,,,,Sekeloa,Coblong,27466,107.61697407828018,-6.886575439265407
<NA>,5149616893,82.29586271745288,,,,Sekeloa,Coblong,27466,107.61694052448702,-6.88661666521895
<NA>,5149616901,85.13155342848692,,,,Sekeloa,Coblong,27466,107.6169253104587,-6.886654760984173
<NA>,5149616893,82.88858450428981,,,,Sekeloa,Coblong,27466,107.61698541418316,-6.886637641842454
<NA>,3443083602,85.21149447354952,,,,Sekeloa,Coblong,27466,107.61709639304794,-6.8867320347707635
<NA>,3443083602,85.51007259498932,,,,Sekeloa,Coblong,27466,107.6170442821928,-6.886779754975562
<NA>,3443083602,79.90659222143377,,,,Sekeloa,Coblong,27466,107.61709627722516,-6.886798574247455
